route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,1603A2876,106350A1603B2876,,33rd via Hoboken,1,,1,0
862,1603A2876,107007A1603B2876,,World Trade Center,1,,10,0
860,1602A2876,106023A1602B2876,,Hoboken,0,,3,0
1024,1604A2876,106243A1604B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105885A1602B2876,,Hoboken,0,,9,0
1024,1603A2876,106428A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106821A1604B2876,,Newark,0,,8,0
861,1602A2876,106548A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105878A1602B2876,,Hoboken,0,,9,0
862,1602A2876,107166A1602B2876,,Newark,0,,8,0
861,1602A2876,106792A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106649A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106793A1602B2876,,Journal Square,0,,6,0
1024,1603A2876,106502A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106813A1604B2876,,Newark,0,,8,0
860,1602A2876,105957A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106622A1602B2876,,33rd Street,1,,7,0
1024,1603A2876,106451A1603B2876,,Journal Square via Hoboken,0,,5,0
1024,1604A2876,106239A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107121A1602B2876,,Newark,0,,8,0
862,1603A2876,106973A1603B2876,,Newark,0,,8,0
860,1602A2876,105942A1602B2876,,World Trade Center,1,,4,0
862,1602A2876,107168A1602B2876,,Newark,0,,8,0
861,1602A2876,106757A1602B2876,,Journal Square,0,,6,0
1024,1604A2876,106272A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107254A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,106017A1602B2876,,Hoboken,0,,3,0
860,1602A2876,105952A1602B2876,,World Trade Center,1,,4,0
862,1602A2876,107127A1602B2876,,Newark,0,,8,0
859,1602A2876,105783A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107106A1602B2876,,Newark,0,,8,0
861,1602A2876,106545A1602B2876,,33rd Street,1,,7,0
860,1602A2876,105964A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106781A1602B2876,,Journal Square,0,,6,0
860,1602A2876,105946A1602B2876,,World Trade Center,1,,4,0
862,1603A2876,106942A1603B2876,,Newark,0,,8,0
860,1602A2876,105981A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106421A1603B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105888A1602B2876,,Hoboken,0,,9,0
1024,1603A2876,106461A1603B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106729A1602B2876,,Journal Square,0,,6,0
860,1602A2876,105983A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106555A1602B2876,,33rd Street,1,,7,0
